dt,pool,aqua,wellness
2025-02-21 05:18:35,0,0,0
2025-02-21 05:33:02,0,0,0
2025-02-21 05:41:45,1,0,0
2025-02-21 05:49:31,9,0,0
2025-02-21 06:14:02,55,0,0
2025-02-21 06:28:56,65,0,0
2025-02-21 06:36:54,66,0,0
2025-02-21 06:48:25,74,0,0
2025-02-21 07:20:27,57,0,0
2025-02-21 07:34:46,44,0,0
2025-02-21 07:42:22,34,0,0
2025-02-21 07:49:52,25,0,0
2025-02-21 08:14:11,23,0,0
2025-02-21 08:24:33,22,0,0
2025-02-21 08:34:19,29,0,0
2025-02-21 08:48:11,28,0,0
2025-02-21 09:18:42,29,0,0
2025-02-21 09:31:25,34,0,0
2025-02-21 09:40:11,36,0,0
2025-02-21 09:48:56,32,0,0
2025-02-21 10:15:06,45,6,0
2025-02-21 10:27:09,44,14,0
2025-02-21 10:35:54,39,19,0
2025-02-21 10:48:23,38,21,0
2025-02-21 11:15:38,46,20,0
2025-02-21 11:31:25,44,22,0
2025-02-21 11:39:21,55,21,0
2025-02-21 11:48:17,56,16,0
2025-02-21 12:12:03,58,26,10
2025-02-21 12:23:33,49,31,15
